text_id,path,metadata,,,ЛЕГЕНДА:
6001,60/1962_V_sobore.xml,"Сочинения, том 5. С.223. Дат.: 1962",,,РАЗНОЧТЕНИЯ
6002,60/1962_Yurodivy.xml,"Сочинения, том 5. С. 224, дат.: 1962, Алакадзе",,,ПРОБЛЕМНЫЕ МЕСТА
6003,60/1963_Monolog_lodki.xml,"Сочинения, том 5. С. 227, дат.: 1963",,,ГРАНИЦА ДЕСЯТИЛЕТИЙ
6004,60/1963_O_angely_vy_hily.xml,"Сочинения, том 5. С. 226. Дат.: 1963",,,
6005,60/1963_Sad.xml,"Сочинения, том 5. С. 230-231. Дат.: 1963, с посв. Е. Кумпан",,,
6006,60/1963_Svecha_Pushkina.xml,"Сочинения, том 5. С. 225. Дат.: 1963",,,
6007,60/1964_Bolyartnya_Morozova.xml,"Сочинения, том 5. С. 240-241, дат.: 1964",,,
6008,60/1964_Moim_Stiham.xml,"Сочинения, том 5. С. 239. Дат.: 1964",,,
6009,60/1964_More.xml,"Сочинения, том 5. С. 234, дат.: 1964",,,
6010,60/1964_Nachalo_Vesny.xml,"Сочинения, том 5. С. 232, дат.: 1964",,,
6011,60/1964_Povest.xml,"Сочинения, том 5. С. 235-238). Дат.: 1964",,,
6012,60/1964_Rybaki.xml,"Сочинения, том 5. С. 233, дат.: 1964",,,
6013,60/1965_Bolezn.xml,"Сочинения, том 5. С. 244. Дат.: 14 октября 1965.",,,
6014,60/1965_Iz_morskih_stihov.xml,"Сочинения, том 5. С. 247. Дат.: 1965",,,
6015,60/1965_Iz_zimnih_stihov.xml,"Сочинения, том 5. С. 245. Дат.: 1965",,,
6016,60/1965_Kogda_korabl_tyok_na_sever.xml,"Сочинения, том 5. С. 242. Дат.: 1965, февраль",,,
6017,60/1965_Zimniy_les.xml,"Сочинения, том 5. С. 246. Дат.: 1965",,,
6018,60/1966_Dush_bestelesnyh_mnogo_na_zemle.xml,"Сочинения, том 5. С. 248. Дат.: 1966",,,
6019,60/1966_Pscov.xml,"Сочинения, том 5. С. 249. Дат.: 16 апреля 1966",,,
6020,60/1967_Kogda_zableet_mertvaya_koza.xml,"Сочинения, том 5. С.260. Дат.: март 1967",,,
6021,60/1967_Ob_izobretenii_parovoy_machiny.xml,"Сочинения, том 5. С. 253-254. Дат.: февраль 1967",,,
6022,60/1967_Pohorony.xml,"Сочинения, том 5. С. 252. Дат.: 1967",,,
6023,60/1967_Starost_knyagini_Dashkovoy.xml,"Стихотворения и поэмы. С.38-39; 1967
Сочинения, том 1. С. 44-45; дат.: 1967
Вестник новой литературы. Л., 1990. Вып. 2. С. 65-66, б/д.
Tartu Riiklik Ülikool (Tartu). – 1973. – 25 мая. – Русская страница. – № 5. – С.1., дат.: 1967",,,
6024,60/1967_Tak_inogda_linyaet_zmey.xml,"Сочинения, том 5. С. 251. Дат.: 1967",,,
6025,60/1968_Ballada_o_spiriticheskom_seanse_i_teni_Alexandra_Pushkina.xml,"Стихотворения и поэмы. С.30-31; 1968
Сочинения, том 1. С. 34-35; дат.: 1968",,,
6026,60/1968_Novorozdennomu.xml,"Стихотворения и поэмы. С.18; 1968
Сочинения, том 1. С. 16; дат.: 1968",,,
6027,60/1969_Ballada_kotoruyu_v_konze_shvatyvaet_paralich.xml,"Стихотворения и поэмы. С.36-37; 1969
Сочинения, том 1. С. 42-43; дат.: 1969
Эхо. Париж, 1978. №2. С. 92, б/д",,,
6028,60/1969_Rondo_s_primesyu_patriotisma.xml,"Стихотворения и поэмы. С.20-22; 1969
Сочинения, том 1. С. 22-24; дат.: 1969",,"ПРОБЛЕМА С ДАТИРОВКОЙ - ГДЕ-ТО 1969, ГДЕ-ТО 1970",
6029,Zelenaya_tetrad/1960_Iz_puteshestviy.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 23-26.",,,
6030,Zelenaya_tetrad/1960_Otryvok.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С.17.",,,
6031,Zelenaya_tetrad/1966_1967_Dva_stihotvorenia_ob_angele_hranitele.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 19-21. ",,,
6032,Zelenaya_tetrad/1966_Gorod_s_pohmelya.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 18.",,,
6033,Zelenaya_tetrad/1967_Doljno_bolnaya_krov.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 22.",,,
6034,Zelenaya_tetrad/1967_Sjaltes'_milie_teny.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 21.",,,
6035,Zelenaya_tetrad/1968_Da_luna_ved_prosto_tsaplya.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 26.",,,
6036,Zelenaya_tetrad/1968_Iz_stihov_o_nevrastenike.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 27-30.",,,
6037,Zelenaya_tetrad/1968_Sytaya_derevnya.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 30.",,,
6038,Zelenaya_tetrad/1969_No_pridet_yanvar_sapozhnik.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 31.",,,
6039,Zelenaya_tetrad/1969_Oblomov_brat_vzglyani.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 35.",,,
6040,Zelenaya_tetrad/1969_Son.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 34.",,,
6041,Zelenaya_tetrad/1969_Voznesenie.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 32.",,,
,,,,,
7019,70/1974_Solovey_spasayushiy_dvoynik.xml,"Стихи 90. С.5; без датировки
Сочинения, том 1. С. 7; дат.: начало 1970-х
Стихотворения и поэмы. С. 12, дат.: начало 1970-х.
",,,
7019,70/Raznochteniya/1974_Solovey_spasayushiy_dvoynik_raznochtenie_1.xml,"Стихи 90. С.5; без датировки
Сочинения, том 1. С. 7; дат.: начало 1970-х
Стихотворения и поэмы. С. 12, дат.: начало 1970-х.
",,,
7020,70/1974_Ya_ne_poidu_na_straschny_sud.xml,"Сочинения, том 1. С. 262; дат.: 1978
Звезда. 1997. №6. С. 45. дат.: 1975",,,
7021,70/1975_Nevidimy_ohotnik.xml,"Танцующий Давид. С.16-17; март 1975
Стихи 90. С.12; без датировки
Стихотворения и поэмы. С.23; 1975
Сочинения, том 1. С. 26-27; дат.: 1975
Круг. Лит.-худ. сб. Л., 1985. С. 290-291, б/д",,,
7022,70/1975_Plavanie.xml,"Танцующий Давид. С.20-22; 1975
Стороны света. С.12-15; 1975
Стихи 90. С.18-20; без датировки
Стихотворения и поэмы. С.27-29; 1975
Сочинения, том 1. С. 31-33; дат.: 1975
Эхо. Париж, 1978. №2. С. 90-91, б/д",,,
7023,70/1975_Sonata_temnoty.xml,"Стихи 90. С.24-26; без датировки
Стихотворения и поэмы. С.44-46;  1975
Сочинения, том 1. С. 50-52; дат.: 1975",,,
7024,70/1976_Iz_sorokogradusnyh_pesen.xml,"Стихотворения и поэмы. С.47; 1976
Сочинения, том 1. С. 55; дат.: 1976",,,
7025,70/1976_Novosty_dnya.xml,"Стороны света. С.15-16; 1976
Стихи 90. С.29-30; без датировки
Стихотворения и поэмы. С.50-51; 1976
Сочинения, том 1. С. 57-58; дат.: 1976",,,
7026,70/1976_V_moey_dushe_skvozit_prolom.xml,"Стороны света 90. С.30; без датировки
Стихотворения и поэмы. С.53; 1976
Сочинения, т. 1. С. 62; дат.: 1976",,,
7027,70/1976_Vospominanie_o_strannom_ugochenii.xml,"Танцующий Давид. С.13; май 1976
Стихи 90. С.33; без датировки
Стихотворения и поэмы. С.48; 1976
Сочинения, том 1. С. 54; дат.: 1976",,,
7028,70/1977_nevidnaya_zvezda.xml,"9. Невидная звезда с подзаголовком («запоздалое»)
Mundus Imaginalis, с.37-38;без датировки
Сочинения, том 1. С. 25-32, с дат.: 1977
Вперед (Тарту). – 1987. – 9 июля. – № 80 (195). – С.4. – «Покормлю злаченых рыбок…», «Глаза намокли изнутри…», б/д",,,
7029,70/1977_Sozerzanie_ikony.xml,"Сочинения, том 1. С. 60-61; дат.: 1977",,,
7030,70/1977_zhelania.xml,"Mundus Imaginalis, с.29-37;78-79 примыкает 9. Невидная звезда с подзаголовком («запоздалое»)
Mundus Imaginalis, с.37-38;без датировки
Сочинения, том 1. С. 25-32, с дат.: 1977
Вперед (Тарту). – 1987. – 9 июля. – № 80 (195). – С.4. – «Покормлю злаченых рыбок…», «Глаза намокли изнутри…», б/д",,,
7031,70/1978_Afrodita_uletaet_v_noch_na_subbotu.xml,"Танцующий Давид. С.85-86; 15 июня 1978
Стихотворения и поэмы. С.49; 1978
Сочинения, том 1. С. 56; дат.: 1978",,,
7032,70/1978_Avraam_i_troiza.xml,"Танцующий Давид. С.94-95; ноябрь 1978- 15 декабря 1979
Стихотворения и поэмы. С.107-108; 1978
Сочинения, том 1. С. 116-117; дат.: 1978",,,
7033,70/1978_Grubymi_sredstvami_ne_dostich_blazhenstva.xml,Танцующий Давид. С.47-53; 27 мая - 2 июня 1978; с подзаголовком («хоррор эротикус»),,,
7033,70/Raznochteniya/1978_Grubymi_sredstvami_ne_dostich_blazhenstva_raznochtenie_1.xml,Танцующий Давид. С.47-53; 27 мая - 2 июня 1978; с подзаголовком («хоррор эротикус»),,,
7033,70/Raznochteniya/1978_Grubymi_sredstvami_ne_dostich_blazhenstva_raznochtenie_2.xml,Танцующий Давид. С.47-53; 27 мая - 2 июня 1978; с подзаголовком («хоррор эротикус»),,,
7033,70/Raznochteniya/1978_Grubymi_sredstvami_ne_dostich_blazhenstva_raznochtenie_3.xml,Танцующий Давид. С.47-53; 27 мая - 2 июня 1978; с подзаголовком («хоррор эротикус»),,,
7033,70/Raznochteniya/1978_Grubymi_sredstvami_ne_dostich_blazhenstva_raznochtenie_4.xml,Танцующий Давид. С.47-53; 27 мая - 2 июня 1978; с подзаголовком («хоррор эротикус»),,,
7034,70/1978_Iz_Geine.xml,"Танцующий Давид. С.39-40; весна 1978
Стихотворения и поэмы. С.54; 1978
Сочинения, том 1. С. 63; дат.: 1978
ВРХД. 1983. №140. С. 97, дат.: весна 1978",,,
7034,70/Raznochteniya/1978_Iz_Geine_raznochtenie_1.xml,"Танцующий Давид. С.39-40; весна 1978
Стихотворения и поэмы. С.54; 1978
Сочинения, том 1. С. 63; дат.: 1978
ВРХД. 1983. №140. С. 97, дат.: весна 1978",,,
7034,70/Raznochteniya/1978_Iz_Geine_raznochtenie_2.xml,"Танцующий Давид. С.39-40; весна 1978
Стихотворения и поэмы. С.54; 1978
Сочинения, том 1. С. 63; дат.: 1978
ВРХД. 1983. №140. С. 97, дат.: весна 1978",,,
7035,70/1978_Lestniza_s_dyiryavymi_ploshadkami.xml,,,,
7036,70/1978_Peizazh.xml,"Стихотворения и поэмы. С.52; 1978
Сочинения, том 1. С. 59; дат.: 1978",,,
7037,70/1979_Mesyaz-Luna.xml,"Стихотворения и поэмы. С.100; 1979
Сочинения, том 1. С. 108; дат.: 1979",,,
7038,70/1979_ROZHDENIE.xml,"Соло на раскаленной трубе. С.41; без датировки
Сочинения, том 1. С. 17, дат.: 1979",,,
7039,70/1979_Tatuirovka_na_krovi.xml,"Сочинения, том 1. С. 109; дат.: 1979
",,,
7040,70/1979_Videnie_tserkvi_na_vodah.xml,"Сочинение, том 1. С. 105-106; дат.: 1979
Знамя. 2001. №8. С. 4, б/д.",,,
7041,Zelenaya_tetrad/1971_Preduprezhdenie.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 37.",,,
7042,Zelenaya_tetrad/1973_Ballada_o_Mahno.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С.64.",,,
7043,Zelenaya_tetrad/1973_Cheburechnaya.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 62.",,,
7044,Zelenaya_tetrad/1973_Isporchennaya_plastinka.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 66.",,,
7045,Zelenaya_tetrad/1973_ohota.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С.61.",,,
7046,Zelenaya_tetrad/1973_predstavlenie_o_stihah_v_18_let.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 67.",,,
7047,Zelenaya_tetrad/1973_Rasskaz_aida_proglochennogo_kronom.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 60.",,,
7048,Zelenaya_tetrad/1973_Snova_poezd_v_snova.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 59.",,,
7049,Zelenaya_tetrad/1973_So_smireniem.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 68.",,,
7050,Zelenaya_tetrad/1973_Zevok_zvuchit_protyazhno.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 58.",,,
7051,Zelenaya_tetrad/1974_Naklonenie_i_vypryamlenie_krovi.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 77.",,,
7052,Zelenaya_tetrad/1974_Noch_v_Vavilone.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 74.",,,
7053,Zelenaya_tetrad/1974_Pismo.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 70.",,,
7054,Zelenaya_tetrad/1974_Razvlechenia_demiurga.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 74-77.",,,
7055,Zelenaya_tetrad/1974_V_bolezni_Navarin.xml,"Стихи из «Зеленой тетради». Стихотворения 1966–1974 го-
дов / Предисл. О. Виноградовой; сост. и подгот. текста
П. Успенский, А. Шеля. — СПб.: Порядок слов, 2018. С. 72.",,,